0.14,0.57,0.43,0.50,0.00,0.12,0.43,0.12,0.00,0.10,0.33,0.22,0.33,0.38,0.11,0.29,0.17,0.14,0.67,0.25,1.00,0.11,0.43,0.38,0.43,0.22,0.29,0.12,0.50,0.25,0.20
0.60,0.22,0.11,0.12,0.20,0.29,0.11,0.12,0.40,0.38,0.00,0.22,0.20,0.22,0.43,0.12,0.17,0.60,0.25,0.00,0.11,1.00,0.25,0.22,0.25,0.38,0.12,0.12,0.33,0.11,0.33
0.33,0.38,0.11,0.29,0.00,0.00,0.11,0.29,0.17,0.10,0.00,0.38,0.33,0.22,0.11,0.12,0.00,0.33,0.25,0.25,0.43,0.25,1.00,0.10,0.67,0.22,0.12,0.12,0.33,0.11,0.20
0.12,0.33,0.57,0.43,0.17,0.43,0.57,0.25,0.14,0.50,0.50,0.33,0.44,0.50,0.57,0.43,0.33,0.12,0.57,0.38,0.38,0.22,0.10,1.00,0.22,0.33,0.25,0.25,0.62,0.57,0.44
0.33,0.38,0.11,0.50,0.00,0.00,0.11,0.50,0.17,0.10,0.14,0.22,0.33,0.22,0.25,0.00,0.00,0.33,0.43,0.43,0.43,0.25,0.67,0.22,1.00,0.38,0.29,0.29,0.50,0.25,0.20
0.29,0.33,0.38,0.11,0.17,0.43,0.38,0.43,0.14,0.20,0.29,0.33,0.44,0.33,0.38,0.25,0.14,0.29,0.22,0.38,0.22,0.38,0.22,0.33,0.38,1.00,0.25,0.67,0.30,0.38,0.30
0.00,0.11,0.12,0.33,0.00,0.14,0.12,0.14,0.00,0.11,0.17,0.00,0.10,0.11,0.12,0.00,0.00,0.00,0.29,0.50,0.29,0.12,0.12,0.25,0.29,0.25,1.00,0.33,0.22,0.50,0.38
0.00,0.25,0.29,0.14,0.00,0.33,0.29,0.60,0.00,0.11,0.40,0.25,0.38,0.25,0.29,0.14,0.00,0.00,0.12,0.50,0.12,0.12,0.12,0.25,0.29,0.67,0.33,1.00,0.22,0.29,0.22
0.25,0.62,0.33,0.57,0.00,0.22,0.33,0.38,0.12,0.44,0.43,0.30,0.40,0.44,0.50,0.22,0.12,0.25,0.71,0.33,0.50,0.33,0.33,0.62,0.50,0.30,0.22,0.22,1.00,0.33,0.27
0.14,0.22,0.43,0.29,0.20,0.29,0.43,0.29,0.17,0.38,0.33,0.22,0.33,0.38,0.43,0.29,0.17,0.14,0.25,0.67,0.25,0.11,0.11,0.57,0.25,0.38,0.50,0.29,0.33,1.00,0.33
0.11,0.08,0.20,0.22,0.14,0.38,0.20,0.10,0.12,0.44,0.11,0.30,0.27,0.18,0.20,0.22,0.29,0.11,0.33,0.33,0.20,0.33,0.20,0.44,0.20,0.30,0.38,0.22,0.27,0.33,1.00
